minute_utc,qb_m2s
2025-06-18 02:57:00+00:00,1.0234675674198877e-05
2025-06-18 02:58:00+00:00,1.55329358251329e-05
2025-06-18 02:59:00+00:00,
2025-06-18 03:00:00+00:00,1.4505038069496397e-05
2025-06-18 03:01:00+00:00,1.3412599701019975e-05
2025-06-18 03:02:00+00:00,1.0330691423465438e-05
2025-06-18 03:03:00+00:00,
2025-06-18 03:04:00+00:00,1.2772871012147167e-05
2025-06-18 03:05:00+00:00,1.5811200628360396e-05
2025-06-18 03:06:00+00:00,1.3473979929549172e-05
2025-06-18 03:07:00+00:00,
2025-06-18 03:08:00+00:00,1.4733446546180583e-05
2025-06-18 03:09:00+00:00,1.544826341910841e-05
2025-06-18 03:10:00+00:00,
2025-06-18 03:11:00+00:00,1.3748724352001309e-05
2025-06-18 03:12:00+00:00,1.3032894921603867e-05
2025-06-18 03:13:00+00:00,1.564025136680495e-05
2025-06-18 03:14:00+00:00,
2025-06-18 03:15:00+00:00,1.1368433535702343e-05
2025-06-18 03:16:00+00:00,1.304669151992307e-05
2025-06-18 03:17:00+00:00,9.512241314626033e-06
2025-06-18 03:18:00+00:00,
2025-06-18 03:19:00+00:00,1.2392811777051786e-05
2025-06-18 03:20:00+00:00,1.2358372039349604e-05
2025-06-18 03:21:00+00:00,
2025-06-18 03:22:00+00:00,1.1216241261988807e-05
2025-06-18 03:23:00+00:00,1.1539739897754377e-05
2025-06-18 03:24:00+00:00,1.834013668789008e-05
2025-06-18 03:25:00+00:00,
2025-06-18 03:26:00+00:00,2.2362923363867104e-05
2025-06-18 03:27:00+00:00,2.3315473546750494e-05
2025-06-18 03:28:00+00:00,2.0674451816254293e-05
2025-06-18 03:29:00+00:00,
2025-06-18 03:30:00+00:00,3.121482043558951e-05
2025-06-18 03:31:00+00:00,2.6075749596343578e-05
2025-06-18 03:32:00+00:00,1.800328263911287e-05
2025-06-18 03:33:00+00:00,
2025-06-18 03:34:00+00:00,3.363753467602313e-05
2025-06-18 03:35:00+00:00,4.534897771194716e-05
2025-06-18 03:36:00+00:00,
2025-06-18 03:37:00+00:00,4.046200628970404e-05
2025-06-18 03:38:00+00:00,4.262332800763529e-05
2025-06-18 03:39:00+00:00,3.0516800983659503e-05
2025-06-18 03:40:00+00:00,
2025-06-18 03:41:00+00:00,1.856375052801912e-05
2025-06-18 03:42:00+00:00,2.7035247543681125e-05
2025-06-18 03:43:00+00:00,2.8877251593131184e-05
2025-06-18 03:44:00+00:00,
2025-06-18 03:45:00+00:00,3.113733936581596e-05
2025-06-18 03:46:00+00:00,2.850934194815927e-05
2025-06-18 03:47:00+00:00,4.235286190938436e-05
2025-06-18 03:48:00+00:00,
2025-06-18 03:49:00+00:00,0.00033800530260721956
2025-06-18 03:50:00+00:00,2.625566643729772e-05
2025-06-18 03:51:00+00:00,
2025-06-18 03:52:00+00:00,3.6276506294852386e-05
2025-06-18 03:53:00+00:00,5.351652860129384e-05
2025-06-18 03:54:00+00:00,
2025-06-18 03:55:00+00:00,
2025-06-18 03:56:00+00:00,
2025-06-18 03:57:00+00:00,2.8474869784388318e-05
2025-06-18 03:58:00+00:00,2.690090375403319e-05
2025-06-18 03:59:00+00:00,
2025-06-18 04:00:00+00:00,2.0744557893023005e-05
2025-06-18 04:01:00+00:00,2.1373789647720665e-05
2025-06-18 04:02:00+00:00,1.701603046476663e-05
2025-06-18 04:03:00+00:00,
2025-06-18 04:04:00+00:00,1.373195105330471e-05
2025-06-18 04:05:00+00:00,1.4068180409144903e-05
2025-06-18 04:06:00+00:00,1.3776087170044766e-05
2025-06-18 04:07:00+00:00,
2025-06-18 04:08:00+00:00,1.1643885703809553e-05
2025-06-18 04:09:00+00:00,1.1837783103584968e-05
2025-06-18 04:10:00+00:00,
2025-06-18 04:11:00+00:00,1.609331707083075e-05
2025-06-18 04:12:00+00:00,1.1346079215887777e-05
2025-06-18 04:13:00+00:00,1.750176885400785e-05
2025-06-18 04:14:00+00:00,
2025-06-18 04:15:00+00:00,1.2909599629081495e-05
2025-06-18 04:16:00+00:00,2.293912833365632e-05
2025-06-18 04:17:00+00:00,1.6729922287048614e-05
2025-06-18 04:18:00+00:00,
2025-06-18 04:19:00+00:00,1.5575975330628045e-05
2025-06-18 04:20:00+00:00,1.8447261974478733e-05
2025-06-18 04:21:00+00:00,
2025-06-18 04:22:00+00:00,1.2276202748984945e-05
2025-06-18 04:23:00+00:00,1.8272853132466623e-05
2025-06-18 04:24:00+00:00,1.3505049365461507e-05
2025-06-18 04:25:00+00:00,
2025-06-18 04:26:00+00:00,2.2675230504354518e-05
2025-06-18 04:27:00+00:00,1.0923152609035117e-05
2025-06-18 04:28:00+00:00,1.6125931927010597e-05
2025-06-18 04:29:00+00:00,
2025-06-18 04:30:00+00:00,1.0903429043594276e-05
2025-06-18 04:31:00+00:00,1.0458467026654709e-05
2025-06-18 04:32:00+00:00,7.76852004691806e-06
2025-06-18 04:33:00+00:00,
2025-06-18 04:34:00+00:00,1.2616515748873424e-05
2025-06-18 04:35:00+00:00,2.3247614215104467e-05
2025-06-18 04:36:00+00:00,
2025-06-18 04:37:00+00:00,1.0587971290772245e-05
2025-06-18 04:38:00+00:00,9.204808303402227e-06
2025-06-18 04:39:00+00:00,9.188327362103665e-06
2025-06-18 04:40:00+00:00,
2025-06-18 04:41:00+00:00,1.1452413932781472e-05
2025-06-18 04:42:00+00:00,7.909934426624515e-06
2025-06-18 04:43:00+00:00,1.0351566451146795e-05
2025-06-18 04:44:00+00:00,
2025-06-18 04:45:00+00:00,8.718193316748814e-06
2025-06-18 04:46:00+00:00,9.249419616198018e-06
2025-06-18 04:47:00+00:00,1.1484794881573722e-05
2025-06-18 04:48:00+00:00,
2025-06-18 04:49:00+00:00,2.312793610223544e-05
2025-06-18 04:50:00+00:00,2.8793007439838378e-05
2025-06-18 04:51:00+00:00,
2025-06-18 04:52:00+00:00,2.3372124049665436e-05
2025-06-18 04:53:00+00:00,1.992951550533672e-05
2025-06-18 04:54:00+00:00,
2025-06-18 04:55:00+00:00,
2025-06-18 04:56:00+00:00,
2025-06-18 04:57:00+00:00,8.07810590027307e-06
2025-06-18 04:58:00+00:00,1.2187843014310835e-05
2025-06-18 04:59:00+00:00,
2025-06-18 05:00:00+00:00,1.06351954103651e-05
2025-06-18 05:01:00+00:00,1.0275058207749944e-05
2025-06-18 05:02:00+00:00,8.971120631882798e-06
2025-06-18 05:03:00+00:00,
2025-06-18 05:04:00+00:00,1.4383328208493079e-05
2025-06-18 05:05:00+00:00,1.0622500513667473e-05
2025-06-18 05:06:00+00:00,1.660304964716401e-05
2025-06-18 05:07:00+00:00,
2025-06-18 05:08:00+00:00,1.489612271897502e-05
2025-06-18 05:09:00+00:00,1.2665527549314749e-05
2025-06-18 05:10:00+00:00,
2025-06-18 05:11:00+00:00,1.1615608680727618e-05
2025-06-18 05:12:00+00:00,1.0686479444269529e-05
2025-06-18 05:13:00+00:00,1.2803343276011563e-05
2025-06-18 05:14:00+00:00,
2025-06-18 05:15:00+00:00,1.3619221932610076e-05
2025-06-18 05:16:00+00:00,1.3127425257628536e-05
2025-06-18 05:17:00+00:00,1.181232803366097e-05
2025-06-18 05:18:00+00:00,
2025-06-18 05:19:00+00:00,2.6546797785675913e-05
2025-06-18 05:20:00+00:00,2.415170951291707e-05
2025-06-18 05:21:00+00:00,
2025-06-18 05:22:00+00:00,3.4313054831117336e-05
2025-06-18 05:23:00+00:00,1.938977994186055e-05
2025-06-18 05:24:00+00:00,2.7062359051660836e-05
2025-06-18 05:25:00+00:00,
2025-06-18 05:26:00+00:00,1.5557472852250763e-05
2025-06-18 05:27:00+00:00,1.985753220566694e-05
2025-06-18 05:28:00+00:00,2.9104757654675643e-05
2025-06-18 05:29:00+00:00,
2025-06-18 05:30:00+00:00,4.134656623438696e-05
2025-06-18 05:31:00+00:00,1.938427325856811e-05
2025-06-18 05:32:00+00:00,2.0459830320248218e-05
2025-06-18 05:33:00+00:00,
2025-06-18 05:34:00+00:00,3.264802731091124e-05
2025-06-18 05:35:00+00:00,3.3472040392134184e-05
2025-06-18 05:36:00+00:00,
2025-06-18 05:37:00+00:00,2.180091374962051e-05
2025-06-18 05:38:00+00:00,1.573970545399023e-05
2025-06-18 05:39:00+00:00,1.9107877713253984e-05
2025-06-18 05:40:00+00:00,
2025-06-18 05:41:00+00:00,2.8720257301483904e-05
2025-06-18 05:42:00+00:00,3.077117102082642e-05
2025-06-18 05:43:00+00:00,3.367859221306629e-05
2025-06-18 05:44:00+00:00,
2025-06-18 05:45:00+00:00,2.092382568352297e-05
2025-06-18 05:46:00+00:00,1.5044212283420345e-05
2025-06-18 05:47:00+00:00,2.6140164429732075e-05
2025-06-18 05:48:00+00:00,
2025-06-18 05:49:00+00:00,2.586611211861579e-05
2025-06-18 05:50:00+00:00,2.5774703598968548e-05
2025-06-18 05:51:00+00:00,
2025-06-18 05:52:00+00:00,3.140613587467465e-05
2025-06-18 05:53:00+00:00,2.2735157227080708e-05
2025-06-18 05:54:00+00:00,
2025-06-18 05:55:00+00:00,
2025-06-18 05:56:00+00:00,
2025-06-18 05:57:00+00:00,2.8970428150065723e-05
2025-06-18 05:58:00+00:00,4.5896383371292166e-05
2025-06-18 05:59:00+00:00,
2025-06-18 06:00:00+00:00,4.0017782452536296e-05
2025-06-18 06:01:00+00:00,4.8969650384627805e-05
2025-06-18 06:02:00+00:00,4.7576440116265155e-05
2025-06-18 06:03:00+00:00,
2025-06-18 06:04:00+00:00,3.103728385850372e-05
2025-06-18 06:05:00+00:00,3.56602561667807e-05
2025-06-18 06:06:00+00:00,3.123041421377873e-05
2025-06-18 06:07:00+00:00,
2025-06-18 06:08:00+00:00,2.767417759919844e-05
2025-06-18 06:09:00+00:00,3.041863682938627e-05
2025-06-18 06:10:00+00:00,
2025-06-18 06:11:00+00:00,2.9415644517340382e-05
2025-06-18 06:12:00+00:00,2.3885117496110124e-05
2025-06-18 06:13:00+00:00,2.281353015835036e-05
2025-06-18 06:14:00+00:00,
2025-06-18 06:15:00+00:00,1.399377689968902e-05
2025-06-18 06:16:00+00:00,1.5942428916916708e-05
2025-06-18 06:17:00+00:00,1.6032359505953363e-05
2025-06-18 06:18:00+00:00,
2025-06-18 06:19:00+00:00,1.4926834038173988e-05
2025-06-18 06:20:00+00:00,1.8194105523003176e-05
2025-06-18 06:21:00+00:00,
2025-06-18 06:22:00+00:00,1.5810896011364706e-05
2025-06-18 06:23:00+00:00,1.6885182923245644e-05
2025-06-18 06:24:00+00:00,1.7491481193425003e-05
2025-06-18 06:25:00+00:00,
2025-06-18 06:26:00+00:00,1.7520789886053095e-05
2025-06-18 06:27:00+00:00,1.971160887445204e-05
2025-06-18 06:28:00+00:00,1.9534179117463774e-05
2025-06-18 06:29:00+00:00,
2025-06-18 06:30:00+00:00,1.6529288152280215e-05
2025-06-18 06:31:00+00:00,1.91636655431891e-05
2025-06-18 06:32:00+00:00,1.68202871574943e-05
2025-06-18 06:33:00+00:00,
2025-06-18 06:34:00+00:00,1.9403906293445758e-05
2025-06-18 06:35:00+00:00,1.5897273834991056e-05
2025-06-18 06:36:00+00:00,
2025-06-18 06:37:00+00:00,1.4333859762265103e-05
2025-06-18 06:38:00+00:00,1.645444727984333e-05
2025-06-18 06:39:00+00:00,1.6399029273490485e-05
2025-06-18 06:40:00+00:00,
2025-06-18 06:41:00+00:00,1.421328705207876e-05
2025-06-18 06:42:00+00:00,1.646047883575196e-05
2025-06-18 06:43:00+00:00,1.6907819531001705e-05
2025-06-18 06:44:00+00:00,
2025-06-18 06:45:00+00:00,1.5009408669959203e-05
2025-06-18 06:46:00+00:00,1.6738145834625403e-05
2025-06-18 06:47:00+00:00,1.7528731322498425e-05
2025-06-18 06:48:00+00:00,
2025-06-18 06:49:00+00:00,2.8913168467015805e-05
2025-06-18 06:50:00+00:00,2.2006476670898085e-05
2025-06-18 06:51:00+00:00,
2025-06-18 06:52:00+00:00,1.5223829040858915e-05
2025-06-18 06:53:00+00:00,1.3175989823218669e-05
2025-06-18 06:54:00+00:00,
2025-06-18 06:55:00+00:00,
2025-06-18 06:56:00+00:00,
2025-06-18 06:57:00+00:00,2.299982513208859e-05
2025-06-18 06:58:00+00:00,1.6010137155057525e-05
2025-06-18 06:59:00+00:00,
2025-06-18 07:00:00+00:00,2.2766629714967005e-05
2025-06-18 07:01:00+00:00,2.1875582368003905e-05
2025-06-18 07:02:00+00:00,2.018350925831959e-05
2025-06-18 07:03:00+00:00,
2025-06-18 07:04:00+00:00,2.099469594775723e-05
2025-06-18 07:05:00+00:00,2.1332865087975276e-05
2025-06-18 07:06:00+00:00,2.1701124324525634e-05
2025-06-18 07:07:00+00:00,
2025-06-18 07:08:00+00:00,1.7454572847054493e-05
2025-06-18 07:09:00+00:00,2.0104075019375836e-05
2025-06-18 07:10:00+00:00,
2025-06-18 07:11:00+00:00,2.3454174464813665e-05
2025-06-18 07:12:00+00:00,2.1221378966181345e-05
2025-06-18 07:13:00+00:00,1.7880480389452737e-05
2025-06-18 07:14:00+00:00,
2025-06-18 07:15:00+00:00,2.986604260160367e-05
2025-06-18 07:16:00+00:00,1.8109460793800173e-05
2025-06-18 07:17:00+00:00,1.8434469364938917e-05
2025-06-18 07:18:00+00:00,
2025-06-18 07:19:00+00:00,1.4081372044550674e-05
2025-06-18 07:20:00+00:00,1.8920581262768107e-05
2025-06-18 07:21:00+00:00,
2025-06-18 07:22:00+00:00,2.274025192507521e-05
2025-06-18 07:23:00+00:00,2.1821338669541928e-05
2025-06-18 07:24:00+00:00,2.6428617214305068e-05
2025-06-18 07:25:00+00:00,
2025-06-18 07:26:00+00:00,2.3268860638249254e-05
2025-06-18 07:27:00+00:00,1.944666336066117e-05
2025-06-18 07:28:00+00:00,1.936127295621517e-05
2025-06-18 07:29:00+00:00,
2025-06-18 07:30:00+00:00,1.7086782627072245e-05
2025-06-18 07:31:00+00:00,2.2679631374719634e-05
2025-06-18 07:32:00+00:00,2.3789735405476484e-05
2025-06-18 07:33:00+00:00,
2025-06-18 07:34:00+00:00,1.8010082947843146e-05
2025-06-18 07:35:00+00:00,1.4007246067080769e-05
2025-06-18 07:36:00+00:00,
2025-06-18 07:37:00+00:00,1.5968005397185425e-05
2025-06-18 07:38:00+00:00,3.1321747496945527e-05
2025-06-18 07:39:00+00:00,2.5766710666509897e-05
2025-06-18 07:40:00+00:00,
2025-06-18 07:41:00+00:00,3.157184760160394e-05
2025-06-18 07:42:00+00:00,5.602015473357651e-05
2025-06-18 07:43:00+00:00,3.6704758270789155e-05
2025-06-18 07:44:00+00:00,
2025-06-18 07:45:00+00:00,6.423743840085562e-05
2025-06-18 07:46:00+00:00,6.0675504285497025e-05
2025-06-18 07:47:00+00:00,2.809153647887615e-05
2025-06-18 07:48:00+00:00,
2025-06-18 07:49:00+00:00,6.168759630474314e-05
2025-06-18 07:50:00+00:00,3.914290390198764e-05
2025-06-18 07:51:00+00:00,
2025-06-18 07:52:00+00:00,2.633488734162332e-05
2025-06-18 07:53:00+00:00,2.4980094422457454e-05
2025-06-18 07:54:00+00:00,
2025-06-18 07:55:00+00:00,
2025-06-18 07:56:00+00:00,
2025-06-18 07:57:00+00:00,2.1220829172425724e-05
2025-06-18 07:58:00+00:00,3.43439380068812e-05
2025-06-18 07:59:00+00:00,
2025-06-18 08:00:00+00:00,4.864090618528e-05
2025-06-18 08:01:00+00:00,5.654344233851297e-05
2025-06-18 08:02:00+00:00,2.4814414495486877e-05
2025-06-18 08:03:00+00:00,
2025-06-18 08:04:00+00:00,1.3061691035984151e-05
2025-06-18 08:05:00+00:00,1.1592833284999882e-05
2025-06-18 08:06:00+00:00,1.3765428237512808e-05
2025-06-18 08:07:00+00:00,
2025-06-18 08:08:00+00:00,1.3662094007829327e-05
2025-06-18 08:09:00+00:00,1.5345514558892443e-05
2025-06-18 08:10:00+00:00,
2025-06-18 08:11:00+00:00,1.6391378749252965e-05
2025-06-18 08:12:00+00:00,1.7341592998273714e-05
2025-06-18 08:13:00+00:00,1.8732802849548435e-05
2025-06-18 08:14:00+00:00,
2025-06-18 08:15:00+00:00,1.3157285177657918e-05
2025-06-18 08:16:00+00:00,1.9097555955160737e-05
2025-06-18 08:17:00+00:00,2.8321727061598466e-05
2025-06-18 08:18:00+00:00,
2025-06-18 08:19:00+00:00,2.565983960143495e-05
2025-06-18 08:20:00+00:00,3.073191087048439e-05
2025-06-18 08:21:00+00:00,
2025-06-18 08:22:00+00:00,3.091691127983562e-05
2025-06-18 08:23:00+00:00,3.114311389263985e-05
2025-06-18 08:24:00+00:00,2.4594059432113574e-05
2025-06-18 08:25:00+00:00,
2025-06-18 08:26:00+00:00,2.65681422350216e-05
2025-06-18 08:27:00+00:00,2.8831683420657487e-05
2025-06-18 08:28:00+00:00,2.637418269023926e-05
2025-06-18 08:29:00+00:00,
2025-06-18 08:30:00+00:00,2.6022140295136134e-05
2025-06-18 08:31:00+00:00,1.265688031978724e-05
2025-06-18 08:32:00+00:00,1.606758918030333e-05
2025-06-18 08:33:00+00:00,
2025-06-18 08:34:00+00:00,4.283092116028855e-05
2025-06-18 08:35:00+00:00,2.5919744778935627e-05
2025-06-18 08:36:00+00:00,
2025-06-18 08:37:00+00:00,3.824053566792603e-05
2025-06-18 08:38:00+00:00,2.628996509167794e-05
2025-06-18 08:39:00+00:00,2.6659334282077493e-05
2025-06-18 08:40:00+00:00,
2025-06-18 08:41:00+00:00,3.3513209608165774e-05
2025-06-18 08:42:00+00:00,3.074290272811427e-05
2025-06-18 08:43:00+00:00,4.243532129638987e-05
2025-06-18 08:44:00+00:00,
2025-06-18 08:45:00+00:00,4.7580351839439434e-05
2025-06-18 08:46:00+00:00,3.175443781284165e-05
2025-06-18 08:47:00+00:00,2.840188927214801e-05
2025-06-18 08:48:00+00:00,
2025-06-18 08:49:00+00:00,2.3152323277820696e-05
2025-06-18 08:50:00+00:00,2.9583192756924074e-05
2025-06-18 08:51:00+00:00,
2025-06-18 08:52:00+00:00,2.4202881167122375e-05
2025-06-18 08:53:00+00:00,2.6507898154444317e-05
2025-06-18 08:54:00+00:00,
2025-06-18 08:55:00+00:00,
2025-06-18 08:56:00+00:00,
2025-06-18 08:57:00+00:00,2.9793241955196273e-05
2025-06-18 08:58:00+00:00,3.121162872466382e-05
2025-06-18 08:59:00+00:00,
2025-06-18 09:00:00+00:00,2.89801619009083e-05
2025-06-18 09:01:00+00:00,3.114600304978149e-05
2025-06-18 09:02:00+00:00,2.5954734623155743e-05
2025-06-18 09:03:00+00:00,
2025-06-18 09:04:00+00:00,2.9434932383675333e-05
2025-06-18 09:05:00+00:00,2.0620466004976888e-05
2025-06-18 09:06:00+00:00,2.0904875674652058e-05
2025-06-18 09:07:00+00:00,
2025-06-18 09:08:00+00:00,2.0643625982171076e-05
2025-06-18 09:09:00+00:00,3.629794490567054e-05
2025-06-18 09:10:00+00:00,
