minute_utc,PSD_30_45_mean,PSD_30_45_int
2025-07-05 03:01:00,5.4465720988495996e-21,2.178426659525725e-19
2025-07-05 03:02:00,4.960201793564972e-21,1.9838988257629045e-19
2025-07-05 03:03:00,,
2025-07-05 03:04:00,5.048223998980449e-22,2.0190962720494912e-20
2025-07-05 03:05:00,1.5819560240038024e-21,6.327199950380297e-20
2025-07-05 03:06:00,5.138869291292116e-21,2.055351153522838e-19
2025-07-05 03:07:00,,
2025-07-05 03:08:00,7.917486517400978e-21,3.1667027125130487e-19
2025-07-05 03:09:00,3.935392431334551e-21,1.573981830649082e-19
2025-07-05 03:10:00,6.273824638022507e-22,2.509070232745714e-20
2025-07-05 03:11:00,,
2025-07-05 03:12:00,8.592109407090156e-22,3.4364625310831637e-20
2025-07-05 03:13:00,5.813006957569246e-22,2.3249555394239315e-20
2025-07-05 03:14:00,,
2025-07-05 03:15:00,9.180146582252816e-23,3.670251422370104e-21
2025-07-05 03:16:00,3.590387790253731e-22,1.4359185238615276e-20
2025-07-05 03:17:00,9.331267995665445e-21,3.7321622191249223e-19
2025-07-05 03:18:00,,
2025-07-05 03:19:00,8.536726020345462e-21,3.414367790618115e-19
2025-07-05 03:20:00,5.45000217380899e-21,2.1797991360897635e-19
2025-07-05 03:21:00,5.042874923103223e-22,2.0169317235150723e-20
2025-07-05 03:22:00,,
2025-07-05 03:23:00,7.772643484994598e-22,3.108661473868928e-20
2025-07-05 03:24:00,4.465531199169871e-21,1.7860410562801472e-19
2025-07-05 03:25:00,7.283618687443936e-21,2.913163825142821e-19
2025-07-05 03:26:00,,
2025-07-05 03:27:00,5.65835799244894e-21,2.2631019149366013e-19
2025-07-05 03:28:00,1.082012318027902e-21,4.327541587916102e-20
2025-07-05 03:29:00,,
2025-07-05 03:30:00,2.7065221865207196e-22,1.0809474518813128e-20
2025-07-05 03:31:00,1.292115683417886e-22,5.167343967989941e-21
2025-07-05 03:32:00,3.1620332478312655e-22,1.2645765730853372e-20
2025-07-05 03:33:00,,
2025-07-05 03:34:00,4.627888415550155e-22,1.8507822460983197e-20
2025-07-05 03:35:00,1.4379149862615301e-21,5.751129949562972e-20
2025-07-05 03:36:00,9.824817003004818e-21,3.9295661701009877e-19
2025-07-05 03:37:00,,
2025-07-05 03:38:00,7.59183424311887e-21,3.036448852144855e-19
2025-07-05 03:39:00,4.985482173317199e-21,1.9940050085866753e-19
2025-07-05 03:40:00,1.5400543799974953e-22,6.159030018122207e-21
2025-07-05 03:41:00,,
2025-07-05 03:42:00,3.2482886478615075e-21,1.2991940585032942e-19
2025-07-05 03:43:00,7.695139127579468e-21,3.077765290141592e-19
2025-07-05 03:44:00,,
2025-07-05 03:45:00,6.4234130045700325e-21,2.569111203236399e-19
2025-07-05 03:46:00,2.3215910469184986e-21,9.285477314915834e-20
2025-07-05 03:47:00,4.042032376971095e-22,1.6166445277528074e-20
2025-07-05 03:48:00,,
2025-07-05 03:49:00,1.553449444510969e-22,6.211903885115656e-21
2025-07-05 03:50:00,1.0076543341812826e-22,4.028824215411138e-21
2025-07-05 03:51:00,5.173264846370509e-22,2.0690915358704265e-20
2025-07-05 03:52:00,,
2025-07-05 03:53:00,5.222116806192154e-22,2.088652984600468e-20
2025-07-05 03:54:00,4.6673930912442015e-21,1.8667808220576608e-19
2025-07-05 03:55:00,1.0811167418659109e-20,4.3240695154265534e-19
2025-07-05 03:56:00,,
2025-07-05 03:57:00,6.887403021219981e-21,2.7546952536296607e-19
2025-07-05 03:58:00,,
2025-07-05 03:59:00,,
2025-07-05 04:00:00,,
2025-07-05 04:01:00,1.814966368254969e-22,7.25667080857468e-21
2025-07-05 04:02:00,7.365035921010439e-23,2.9452520094565485e-21
2025-07-05 04:03:00,,
2025-07-05 04:04:00,2.9936100532973783e-22,1.1972502981473918e-20
2025-07-05 04:05:00,4.68867320781813e-22,1.875125321362012e-20
2025-07-05 04:06:00,8.764095258525521e-23,3.5032099961288055e-21
2025-07-05 04:07:00,,
2025-07-05 04:08:00,1.1622575533965304e-22,4.646761673404901e-21
2025-07-05 04:09:00,9.345708446198389e-23,3.718667399711172e-21
2025-07-05 04:10:00,7.976050210393214e-23,3.1886505341880398e-21
2025-07-05 04:11:00,,
2025-07-05 04:12:00,1.7005529523183408e-22,6.801126546285113e-21
2025-07-05 04:13:00,4.786443314093203e-23,1.914124436766183e-21
2025-07-05 04:14:00,,
2025-07-05 04:15:00,1.1703193450533015e-22,4.6797606816623875e-21
2025-07-05 04:16:00,4.529308759577959e-23,1.810407581816423e-21
2025-07-05 04:17:00,2.6485855784405397e-22,1.0592838049409034e-20
2025-07-05 04:18:00,,
2025-07-05 04:19:00,3.8722452489325276e-22,1.5483637908482726e-20
2025-07-05 04:20:00,8.129347917937786e-22,3.2513962265352134e-20
2025-07-05 04:21:00,2.1427601930588757e-22,8.569017733519615e-21
2025-07-05 04:22:00,,
2025-07-05 04:23:00,3.5211420617046005e-23,1.4079284607997728e-21
2025-07-05 04:24:00,3.2722309706485967e-23,1.3082757386780887e-21
2025-07-05 04:25:00,4.7954485462177666e-23,1.9168593422190733e-21
2025-07-05 04:26:00,,
2025-07-05 04:27:00,4.059529488091203e-23,1.6230099254091291e-21
2025-07-05 04:28:00,3.3781586902468767e-23,1.3502720170183766e-21
