minute_utc,PSD_30_45_mean,PSD_30_45_int
2025-07-05 03:01:00,5.651232628335477e-23,8.472870134338048e-22
2025-07-05 03:02:00,4.345802808898646e-23,6.516436237718218e-22
2025-07-05 03:04:00,3.446163113989795e-23,5.167035459145648e-22
2025-07-05 03:05:00,4.795952313852853e-23,7.187731427460698e-22
2025-07-05 03:06:00,5.104841547987493e-23,7.651853382661006e-22
2025-07-05 03:08:00,1.0636947447824344e-22,1.5941628152614178e-21
2025-07-05 03:09:00,5.114709212602331e-23,7.665359904662121e-22
2025-07-05 03:10:00,8.498649492488742e-23,1.2741001644394488e-21
2025-07-05 03:12:00,3.5800447334115836e-23,5.367078961758362e-22
2025-07-05 03:13:00,7.51552069724763e-23,1.1267273863066026e-21
2025-07-05 03:15:00,5.9761117195228355e-24,8.958987208859635e-23
2025-07-05 03:16:00,6.93168302227119e-24,1.0387603280994284e-22
2025-07-05 03:17:00,8.814516548515665e-23,1.3214612903762688e-21
2025-07-05 03:19:00,7.009418985135406e-23,1.051096597542932e-21
2025-07-05 03:20:00,1.226845457914413e-22,1.832210714586346e-21
2025-07-05 03:21:00,2.757364730494069e-23,4.0813653618656324e-22
2025-07-05 03:23:00,2.027647233001854e-23,3.000141173002712e-22
2025-07-05 03:24:00,5.605054518424766e-23,8.377118830114041e-22
2025-07-05 03:25:00,1.0589866002142005e-22,1.5851343063098338e-21
2025-07-05 03:27:00,7.905334674490988e-23,1.1853475732580108e-21
2025-07-05 03:28:00,6.905110043285876e-23,1.0350730178508644e-21
2025-07-05 03:30:00,6.1620492964871975e-24,9.23471687288817e-23
2025-07-05 03:31:00,1.0716113710463058e-23,1.6024002792399727e-22
2025-07-05 03:32:00,3.913951126206187e-23,5.865544788040499e-22
2025-07-05 03:34:00,3.774785961902693e-23,5.658938315658133e-22
2025-07-05 03:35:00,1.6999445728522137e-23,2.5472885832653574e-22
2025-07-05 03:36:00,6.58448601364593e-23,9.871792269617917e-22
2025-07-05 03:38:00,9.535330608508728e-23,1.4291217515475766e-21
2025-07-05 03:39:00,6.997856339164267e-23,1.0488040065608106e-21
2025-07-05 03:40:00,7.206041399081527e-24,1.0805291616574906e-22
2025-07-05 03:42:00,5.292530360663129e-23,7.935244672825596e-22
2025-07-05 03:43:00,8.348727533076554e-23,1.2518809569493009e-21
2025-07-05 03:45:00,1.4021523563188777e-22,2.1024275784397606e-21
2025-07-05 03:46:00,1.1478764148321792e-22,1.7212219452145187e-21
2025-07-05 03:47:00,1.8646256071679235e-23,2.7960255571672014e-22
2025-07-05 03:49:00,4.809644168154898e-24,7.211657218080548e-23
2025-07-05 03:50:00,5.148940998335718e-24,7.71865871099162e-23
2025-07-05 03:51:00,9.775476718735063e-23,1.4659387930608361e-21
2025-07-05 03:53:00,2.854800732646467e-23,4.277656090897951e-22
2025-07-05 03:54:00,3.562786042706196e-23,5.342648209271366e-22
2025-07-05 03:55:00,8.48447347240529e-23,1.2722037507978906e-21
2025-07-05 03:57:00,6.847520350592524e-23,1.0267656897102168e-21
2025-07-05 04:01:00,2.5417918536563873e-23,3.811497915983369e-22
2025-07-05 04:02:00,1.4005890234121797e-23,2.0975642003526308e-22
2025-07-05 04:04:00,3.253001946988981e-23,4.87805106455538e-22
2025-07-05 04:05:00,3.997661816067123e-23,5.979295056381378e-22
2025-07-05 04:06:00,6.0354232792427086e-24,9.045594980820623e-23
2025-07-05 04:08:00,1.2349922128329657e-23,1.850422221388417e-22
2025-07-05 04:09:00,1.1890500389284428e-23,1.7825928025491812e-22
2025-07-05 04:10:00,7.105265214477178e-24,1.0577538029815918e-22
2025-07-05 04:12:00,1.7839668751207087e-23,2.6704578250349907e-22
2025-07-05 04:13:00,8.575592668014442e-24,1.2850509025339926e-22
2025-07-05 04:15:00,1.651036367878462e-23,2.4758562161427157e-22
2025-07-05 04:16:00,5.131554149538519e-24,7.69493401241234e-23
2025-07-05 04:17:00,3.934607061609495e-23,5.899663483609582e-22
2025-07-05 04:19:00,6.174126368607757e-23,9.256949630595757e-22
2025-07-05 04:20:00,1.0040695579099595e-22,1.5056554146335854e-21
2025-07-05 04:21:00,6.773030518161104e-23,1.0156376315599106e-21
2025-07-05 04:23:00,4.640836870432176e-24,6.951973690973374e-23
2025-07-05 04:24:00,5.3196671175215525e-24,7.969599782248733e-23
2025-07-05 04:25:00,4.9511686717917006e-24,7.423544073886338e-23
2025-07-05 04:27:00,5.460454141344372e-24,8.188572988205208e-23
2025-07-05 04:28:00,5.331852517072162e-24,7.991528512833599e-23
2025-07-05 04:30:00,1.559056626706605e-23,2.3365335933054883e-22
2025-07-05 04:31:00,5.972707734083204e-24,8.954640137701486e-23
2025-07-05 04:32:00,5.333897000506175e-24,7.996133319600305e-23
2025-07-05 04:34:00,1.5310568455315097e-23,2.2930690273936033e-22
2025-07-05 04:35:00,5.2295454631981736e-24,7.842129613854222e-23
2025-07-05 04:36:00,4.9565377661949855e-24,7.432717496111048e-23
2025-07-05 04:38:00,2.6748501923422584e-23,4.0038148885115315e-22
2025-07-05 04:39:00,5.250010354968833e-24,7.872759794187235e-23
2025-07-05 04:40:00,4.741437170937939e-24,7.110085159518618e-23
2025-07-05 04:42:00,4.7961791716622435e-24,7.189831904101663e-23
2025-07-05 04:43:00,4.8250266186814215e-24,7.230364867887772e-23
2025-07-05 04:45:00,4.965103591661338e-24,7.442309519012589e-23
2025-07-05 04:46:00,3.550025919363038e-23,5.319240653085287e-22
2025-07-05 04:47:00,8.865991366694891e-24,1.3285434642218133e-22
2025-07-05 04:49:00,1.3924542617800753e-23,2.0857039729213103e-22
2025-07-05 04:50:00,2.8273004011432515e-23,4.238595668152174e-22
2025-07-05 04:51:00,5.826695758850914e-24,8.736104244487594e-23
2025-07-05 04:53:00,6.201099531820551e-23,9.298741964527376e-22
2025-07-05 04:54:00,5.848455590042337e-24,8.766223951829156e-23
2025-07-05 04:55:00,4.741824663942589e-24,7.109180271429613e-23
2025-07-05 04:57:00,5.216775830105901e-24,7.818842348581075e-23
2025-07-05 05:01:00,4.012140570254821e-24,6.016275057051883e-23
2025-07-05 05:02:00,3.7521765034146863e-23,5.62631229967961e-22
2025-07-05 05:04:00,5.445551338167548e-24,8.16226852904713e-23
2025-07-05 05:05:00,7.671374444421182e-24,1.1498756417286849e-22
2025-07-05 05:06:00,5.50072677200466e-23,8.236061408581508e-22
2025-07-05 05:08:00,4.822637485716964e-24,7.22924250424671e-23
2025-07-05 05:09:00,1.752375575364904e-23,2.626922489505281e-22
2025-07-05 05:10:00,4.7514655981221984e-24,7.124446708939546e-23
2025-07-05 05:12:00,5.2930008671569126e-24,7.936780852281884e-23
2025-07-05 05:13:00,5.3562759147800785e-24,8.030124984410757e-23
2025-07-05 05:15:00,9.978213947146632e-24,1.4957893668473894e-22
2025-07-05 05:16:00,4.847278807033006e-24,7.268335272216282e-23
2025-07-05 05:17:00,3.8739294982974367e-23,5.806809300121591e-22
2025-07-05 05:19:00,5.412618773140337e-24,8.114640449339768e-23
2025-07-05 05:20:00,5.5215425958518206e-24,8.27971790415207e-23
2025-07-05 05:21:00,8.225684553946843e-24,1.2318821498322485e-22
