minute_utc,PSD_2_30_mean,PSD_2_30_int
2025-06-18 02:57:00+00:00,2.2765045500633557e-21,6.374348111286368e-20
2025-06-18 02:58:00+00:00,3.596149325634337e-21,1.0068531498556435e-19
2025-06-18 02:59:00+00:00,,
2025-06-18 03:00:00+00:00,3.1594562925026162e-21,8.844854674480627e-20
2025-06-18 03:01:00+00:00,2.447757764397601e-21,6.852200221181856e-20
2025-06-18 03:02:00+00:00,2.577744024313159e-21,7.21392605633085e-20
2025-06-18 03:03:00+00:00,,
2025-06-18 03:04:00+00:00,3.04258058979683e-21,8.51825432480927e-20
2025-06-18 03:05:00+00:00,3.1860031206059462e-21,8.911589704658191e-20
2025-06-18 03:06:00+00:00,3.1128777297360622e-21,8.711771544044685e-20
2025-06-18 03:07:00+00:00,,
2025-06-18 03:08:00+00:00,2.8550300570237035e-21,7.991219115418008e-20
2025-06-18 03:09:00+00:00,3.469934409389422e-21,9.714902278207956e-20
2025-06-18 03:10:00+00:00,,
2025-06-18 03:11:00+00:00,2.9735520926287396e-21,8.318127256272249e-20
2025-06-18 03:12:00+00:00,3.417250338110256e-21,9.565740286125634e-20
2025-06-18 03:13:00+00:00,3.679095151955061e-21,1.0297429728615533e-19
2025-06-18 03:14:00+00:00,,
2025-06-18 03:15:00+00:00,2.2808911017836544e-21,6.386958243984591e-20
2025-06-18 03:16:00+00:00,2.7469632219740117e-21,7.686269589804803e-20
2025-06-18 03:17:00+00:00,2.2929890101520616e-21,6.418082847379566e-20
2025-06-18 03:18:00+00:00,,
2025-06-18 03:19:00+00:00,2.1847341862080854e-21,6.114573009470948e-20
2025-06-18 03:20:00+00:00,2.367986029360086e-21,6.62935498788808e-20
2025-06-18 03:21:00+00:00,,
2025-06-18 03:22:00+00:00,2.4621499871418867e-21,6.889624646892357e-20
2025-06-18 03:23:00+00:00,2.754460183761886e-21,7.713200456515338e-20
2025-06-18 03:24:00+00:00,3.206006357924972e-21,8.973469025662092e-20
2025-06-18 03:25:00+00:00,,
2025-06-18 03:26:00+00:00,4.049407993742206e-21,1.1331473305527147e-19
2025-06-18 03:27:00+00:00,4.3264638308587255e-21,1.2111362274875826e-19
2025-06-18 03:28:00+00:00,4.125934094275599e-21,1.1551416775815242e-19
2025-06-18 03:29:00+00:00,,
2025-06-18 03:30:00+00:00,7.272402484741107e-21,2.0352115797093966e-19
2025-06-18 03:31:00+00:00,3.556413791371356e-21,9.958391839007826e-20
2025-06-18 03:32:00+00:00,2.6602917965034563e-21,7.447249138307874e-20
2025-06-18 03:33:00+00:00,,
2025-06-18 03:34:00+00:00,4.5610587615673604e-21,1.2767950192263564e-19
2025-06-18 03:35:00+00:00,4.5456857773770655e-21,1.2728541630762615e-19
2025-06-18 03:36:00+00:00,,
2025-06-18 03:37:00+00:00,5.832010976214761e-21,1.632656693594594e-19
2025-06-18 03:38:00+00:00,5.059715512701496e-21,1.4142241948764253e-19
2025-06-18 03:39:00+00:00,3.572089389801855e-21,9.999512468938439e-20
2025-06-18 03:40:00+00:00,,
2025-06-18 03:41:00+00:00,3.62455164875176e-21,1.0139230780843836e-19
2025-06-18 03:42:00+00:00,3.956924266248159e-21,1.1076529511724701e-19
2025-06-18 03:43:00+00:00,4.081076734817372e-21,1.1428101434441056e-19
2025-06-18 03:44:00+00:00,,
2025-06-18 03:45:00+00:00,5.813133025320493e-21,1.6275930670366292e-19
2025-06-18 03:46:00+00:00,6.635429862422272e-21,1.8577169348242194e-19
2025-06-18 03:47:00+00:00,6.105850104301638e-21,1.7075396538539348e-19
2025-06-18 03:48:00+00:00,,
2025-06-18 03:49:00+00:00,1.938194134529371e-20,5.426843925551357e-19
2025-06-18 03:50:00+00:00,3.807703478895109e-21,1.0659641330095655e-19
2025-06-18 03:51:00+00:00,,
2025-06-18 03:52:00+00:00,4.4019202175735096e-21,1.2325862483521077e-19
2025-06-18 03:53:00+00:00,5.1774849319644444e-21,1.449786138436728e-19
2025-06-18 03:54:00+00:00,,
2025-06-18 03:55:00+00:00,,
2025-06-18 03:56:00+00:00,,
2025-06-18 03:57:00+00:00,3.0540634782216174e-21,8.551171925124412e-20
2025-06-18 03:58:00+00:00,2.758641674970632e-21,7.722184483440884e-20
2025-06-18 03:59:00+00:00,,
2025-06-18 04:00:00+00:00,1.9536618123236333e-21,5.46735933934936e-20
2025-06-18 04:01:00+00:00,1.8217925022667546e-21,5.099939114787608e-20
2025-06-18 04:02:00+00:00,1.9997505829889687e-21,5.594365953080945e-20
2025-06-18 04:03:00+00:00,,
2025-06-18 04:04:00+00:00,1.5773287507246201e-21,4.4169235838036055e-20
2025-06-18 04:05:00+00:00,2.0082637914255687e-21,5.621174522359701e-20
2025-06-18 04:06:00+00:00,1.703735844771711e-21,4.770378631733858e-20
2025-06-18 04:07:00+00:00,,
2025-06-18 04:08:00+00:00,1.859992505751314e-21,5.206921137544883e-20
2025-06-18 04:09:00+00:00,1.6005065414386388e-21,4.480492701868061e-20
2025-06-18 04:10:00+00:00,,
2025-06-18 04:11:00+00:00,1.694967231733e-21,4.743474656005764e-20
2025-06-18 04:12:00+00:00,1.6706360565478727e-21,4.669878825283102e-20
2025-06-18 04:13:00+00:00,1.649195744764708e-21,4.5978614248943284e-20
2025-06-18 04:14:00+00:00,,
2025-06-18 04:15:00+00:00,1.6107956993577168e-21,4.5079783510598314e-20
2025-06-18 04:16:00+00:00,2.2286754462776563e-21,6.238149372847627e-20
2025-06-18 04:17:00+00:00,1.6414743321773672e-21,4.596046931933509e-20
2025-06-18 04:18:00+00:00,,
2025-06-18 04:19:00+00:00,1.9740907792066445e-21,5.523318331190821e-20
2025-06-18 04:20:00+00:00,2.6242398000165258e-21,7.347493745668014e-20
2025-06-18 04:21:00+00:00,,
2025-06-18 04:22:00+00:00,1.706183567835251e-21,4.775392034849225e-20
2025-06-18 04:23:00+00:00,1.8221158383310106e-21,5.097361626314331e-20
2025-06-18 04:24:00+00:00,2.081025127327807e-21,5.826717689173608e-20
2025-06-18 04:25:00+00:00,,
2025-06-18 04:26:00+00:00,1.825061236255449e-21,5.095386707214909e-20
2025-06-18 04:27:00+00:00,1.6710131915893402e-21,4.6740807634333556e-20
2025-06-18 04:28:00+00:00,2.843930020802294e-21,7.958617987381467e-20
2025-06-18 04:29:00+00:00,,
2025-06-18 04:30:00+00:00,1.971849000626329e-21,5.517456700269694e-20
2025-06-18 04:31:00+00:00,1.618677161951532e-21,4.525938601775446e-20
2025-06-18 04:32:00+00:00,1.3273008878548521e-21,3.7164744049385305e-20
2025-06-18 04:33:00+00:00,,
2025-06-18 04:34:00+00:00,1.897313079278031e-21,5.3061697037434984e-20
2025-06-18 04:35:00+00:00,1.8499083321922174e-21,5.175059333470154e-20
2025-06-18 04:36:00+00:00,,
2025-06-18 04:37:00+00:00,1.3964139063073456e-21,3.9055973390301996e-20
2025-06-18 04:38:00+00:00,1.2791560709045378e-21,3.580616642785244e-20
2025-06-18 04:39:00+00:00,1.5705768816919697e-21,4.392909187939019e-20
2025-06-18 04:40:00+00:00,,
2025-06-18 04:41:00+00:00,1.1748757330846012e-21,3.2871674565199103e-20
2025-06-18 04:42:00+00:00,1.2798114121510697e-21,3.57702635636454e-20
2025-06-18 04:43:00+00:00,1.6419479118360359e-21,4.595596430336054e-20
2025-06-18 04:44:00+00:00,,
2025-06-18 04:45:00+00:00,1.2092817211768223e-21,3.380627861989677e-20
2025-06-18 04:46:00+00:00,1.1732098567916153e-21,3.2835891653711097e-20
2025-06-18 04:47:00+00:00,2.3574024899998204e-21,6.576271971796753e-20
2025-06-18 04:48:00+00:00,,
2025-06-18 04:49:00+00:00,4.342793176924618e-21,1.2157300467489886e-19
2025-06-18 04:50:00+00:00,6.193948033714785e-21,1.7344442893408992e-19
2025-06-18 04:51:00+00:00,,
2025-06-18 04:52:00+00:00,1.9760163496439107e-21,5.532014135207893e-20
2025-06-18 04:53:00+00:00,2.3905418550262875e-21,6.681510512112291e-20
2025-06-18 04:54:00+00:00,,
2025-06-18 04:55:00+00:00,,
2025-06-18 04:56:00+00:00,,
2025-06-18 04:57:00+00:00,9.437959069044546e-22,2.6395154328410924e-20
2025-06-18 04:58:00+00:00,1.3385521806531709e-21,3.742569600268406e-20
2025-06-18 04:59:00+00:00,,
2025-06-18 05:00:00+00:00,1.8458405409123357e-21,5.165196310018942e-20
2025-06-18 05:01:00+00:00,1.1764602158819783e-21,3.2879557769853574e-20
2025-06-18 05:02:00+00:00,1.2819523397583785e-21,3.58423332048042e-20
2025-06-18 05:03:00+00:00,,
2025-06-18 05:04:00+00:00,1.4164401389280557e-21,3.9621973794153533e-20
2025-06-18 05:05:00+00:00,1.4622443617629701e-21,4.092446676815255e-20
2025-06-18 05:06:00+00:00,1.6942831230540268e-21,4.740081451835097e-20
2025-06-18 05:07:00+00:00,,
2025-06-18 05:08:00+00:00,1.9711564014539022e-21,5.51345040143501e-20
2025-06-18 05:09:00+00:00,1.5967259832210148e-21,4.46128129492801e-20
2025-06-18 05:10:00+00:00,,
2025-06-18 05:11:00+00:00,1.8944388678417226e-21,5.304337845437192e-20
2025-06-18 05:12:00+00:00,1.3450528158638443e-21,3.76175323521042e-20
2025-06-18 05:13:00+00:00,1.4520819046540626e-21,4.061838793721109e-20
2025-06-18 05:14:00+00:00,,
2025-06-18 05:15:00+00:00,1.4460604208502372e-21,4.048372203692583e-20
2025-06-18 05:16:00+00:00,1.4710925253258705e-21,4.1128073786403063e-20
2025-06-18 05:17:00+00:00,1.4241258300347265e-21,3.986553790457856e-20
2025-06-18 05:18:00+00:00,,
2025-06-18 05:19:00+00:00,3.7543419261347535e-21,1.0512964558427661e-19
2025-06-18 05:20:00+00:00,4.805408593563626e-21,1.3448023795063332e-19
2025-06-18 05:21:00+00:00,,
2025-06-18 05:22:00+00:00,6.187297785584078e-21,1.7324589646444666e-19
2025-06-18 05:23:00+00:00,4.989762670495208e-21,1.397086289172051e-19
2025-06-18 05:24:00+00:00,8.680671585969902e-21,2.4288854612417824e-19
2025-06-18 05:25:00+00:00,,
2025-06-18 05:26:00+00:00,1.8548696279752206e-21,5.193854035412661e-20
2025-06-18 05:27:00+00:00,2.3965966775959565e-21,6.708829007357421e-20
2025-06-18 05:28:00+00:00,9.137402466456242e-21,2.5582815143136276e-19
2025-06-18 05:29:00+00:00,,
2025-06-18 05:30:00+00:00,9.920528336483482e-21,2.7778302679737104e-19
2025-06-18 05:31:00+00:00,3.212235387644911e-21,8.981600059134589e-20
2025-06-18 05:32:00+00:00,3.7602269742312636e-21,1.0526452199354084e-19
2025-06-18 05:33:00+00:00,,
2025-06-18 05:34:00+00:00,7.369798966910845e-21,2.0630933235835686e-19
2025-06-18 05:35:00+00:00,5.512470446287123e-21,1.5425857822031716e-19
2025-06-18 05:36:00+00:00,,
2025-06-18 05:37:00+00:00,3.793941366952551e-21,1.0619910826055992e-19
2025-06-18 05:38:00+00:00,2.695584260937812e-21,7.548274438432551e-20
2025-06-18 05:39:00+00:00,2.7371311751451765e-21,7.657703594592095e-20
2025-06-18 05:40:00+00:00,,
2025-06-18 05:41:00+00:00,4.15941707423576e-21,1.1646029570008467e-19
2025-06-18 05:42:00+00:00,5.999770683191994e-21,1.6800815547953717e-19
2025-06-18 05:43:00+00:00,5.1731441646347435e-21,1.4485201736057302e-19
2025-06-18 05:44:00+00:00,,
2025-06-18 05:45:00+00:00,3.1098941402992932e-21,8.705435812759027e-20
2025-06-18 05:46:00+00:00,1.5098742981350251e-21,4.225802428861775e-20
2025-06-18 05:47:00+00:00,3.1486801199979094e-21,8.816889219264016e-20
2025-06-18 05:48:00+00:00,,
2025-06-18 05:49:00+00:00,3.1069065320162507e-21,8.693241682274307e-20
2025-06-18 05:50:00+00:00,2.9802764578489766e-21,8.34007003032323e-20
2025-06-18 05:51:00+00:00,,
