time,Velocity_1,Velocity_2,Velocity_3,Velocity_4,Velocity_5,Velocity_6,Velocity_7,Velocity_8,Velocity_9,Velocity_10,Velocity_11,Velocity_12,Velocity_13,Velocity_14,Velocity_15,Velocity_16,Velocity_17,Velocity_18,Velocity_19,Velocity_20,Velocity_21,Velocity_22,Velocity_23,Velocity_24,Velocity_25
0.00E+00,0.868025689,0.633763793,-0.858255934,0.753436935,0,0.21817951,0.713154042,-0.837953717,-0.235461471,0,-0.237531321,0.958600679,0,0,0,0,0,-0.044946247,0,0.507506697,0.463405298,-0.101122356,-0.749018883,0.751983336,0.542435268
9.99E-03,-0.582359202,0.951209814,-0.752894445,-0.161180068,0.466528926,-0.685168758,0.301162184,0.0975,0.934137674,0.0976,0.0975,-0.272336506,-0.271918889,-0.448110678,-0.39057693,-0.523975844,0.551872361,1.086197274,0.0975,0.110334552,-0.668707536,-0.243484533,0.0975,-0.174709231,-0.307994727
2.00E-02,-0.140530143,1.064700535,0.724055722,-0.661235774,0.194,0.194,0.194,0.194,0.264250549,-0.41931851,0.742510739,-0.411210217,0.194,0.194,0.221471458,0.194,0.194,0.005623555,0.038672679,-0.665645249,0.194,0.728839126,0.138563897,0.315780274,1.062157207
3.00E-02,0.365288861,1.193930395,0.29,0.438753568,-0.280549517,0.29,-0.528774832,0.100133496,0.29,0.562144063,0.425577181,1.144085932,0.487100925,-0.661980686,-0.591502966,-0.588569789,-0.490923739,0.600107054,0.093408046,0.29,0.963682029,0.29,0.418844713,0.04040761,0.351831696
4.00E-02,0.385,0.336969005,0.102819353,0.385,0.385,-0.304016914,0.385,0.385,0.97742356,0.385,0.385,1.124255867,0.977531976,0.385,0.737370658,-0.295984857,-0.147265162,0.385,1.004040881,0.489713707,0.465084308,-0.574464081,0.911223637,0.237456548,-0.468168735
5.00E-02,1.085894911,0.478,0.240390365,0.478,0.933825652,0.869443693,0.478,0.751808906,0.835699814,0.291072461,0.911519252,0.478,0.964965747,0.478,1.282534459,0.478,0.521735619,-0.519587713,1.045870666,1.330874325,-0.287909037,-0.026917712,0.478,0.553026804,0.447024301
6.00E-02,0.571,0.463553799,0.741100151,-0.000545777,0.17322342,1.355744537,-0.013938176,0.461114037,0.537067571,-0.11565446,0.894129647,0.571,0.842790926,0.571,1.500427264,0.47617369,1.51519034,0.187787705,0.571,-0.083214376,0.929284092,0.079295925,0.571,1.14117012,0.571
7.00E-02,1.568916266,1.495339121,-0.059084091,0.663,0.663,0.098618837,1.022185933,0.663,0.663,0.775490681,0.368908887,1.435786127,0.663,0.079900488,0.989099458,0.902776523,1.266209732,0.766523396,0.663,0.663,0.165154695,1.524885659,-0.330278576,1.640271383,0.655149174
8.00E-02,0.754,0.754,0.451121246,1.021561657,1.034514023,-0.039860163,0.754,-0.083175526,0.754,0.471378697,0.68337608,0.402323099,0.754,0.221888,0.086161983,0.914043681,0.754,0.132833247,0.754,0.287263604,1.380162143,-0.109715653,0.769332748,0.452490335,0.09994117
9.00E-02,0.653284993,0.93373509,0.077973083,0.257180182,0.629821563,0.495451179,1.404101204,1.450642049,1.753019585,0.560897005,1.452890669,0.719623914,-0.076396989,0.015932973,0.433023256,0.450032872,1.213260757,0.844,0.669701792,0.59463443,0.391266123,0.844,0.986451141,0.544931801,-0.09021645
