time,Velocity_1,Velocity_2,Velocity_3,Velocity_4,Velocity_5,Velocity_6,Velocity_7,Velocity_8,Velocity_9,Velocity_10,Velocity_11,Velocity_12,Velocity_13,Velocity_14,Velocity_15,Velocity_16,Velocity_17,Velocity_18,Velocity_19,Velocity_20
0.00E+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.99E-03,0.0975,0.0974,0.0974,0.0972,0.0974,0.0975,0.0976,0.0972,0.0975,0.0983,0.0976,0.0975,0.0972,0.0975,0.0978,0.0979,0.0975,0.0976,0.0973,0.0975
2.00E-02,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.195,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194
3.00E-02,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.291,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
4.00E-02,0.385,0.384,0.384,0.384,0.384,0.385,0.385,0.384,0.385,0.385,0.385,0.385,0.384,0.385,0.385,0.385,0.384,0.385,0.384,0.385
5.00E-02,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.478,0.479,0.478,0.478,0.478,0.478,0.478,0.479,0.478,0.478,0.478,0.478
6.00E-02,0.571,0.571,0.571,0.571,0.571,0.571,0.571,0.571,0.571,0.572,0.571,0.571,0.571,0.571,0.571,0.572,0.571,0.571,0.571,0.571
7.00E-02,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.664,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663,0.663
8.00E-02,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.755,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754
9.00E-02,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.845,0.844,0.844,0.844,0.844,0.844,0.845,0.844,0.844,0.844,0.844
1.00E-01,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.934,0.933,0.933,0.933,0.933,0.934,0.934,0.933,0.933,0.933,0.933
1.10E-01,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02
1.20E-01,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11
1.30E-01,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
1.40E-01,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28
1.50E-01,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37
1.60E-01,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45
1.70E-01,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53
1.80E-01,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62
1.90E-01,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
2.00E-01,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
2.10E-01,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86
2.20E-01,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94
2.30E-01,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02
2.40E-01,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09
2.50E-01,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17
2.60E-01,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
2.70E-01,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32
2.80E-01,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
2.90E-01,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47
3.00E-01,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54
3.10E-01,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.62,2.61,2.61,2.61,2.61,2.61,2.62,2.61,2.61,2.61,2.61
